256	8	838860800.000000	0.7
256	16	1677721600.000000	11.5
256	32	1118481066.666667	47.8
256	64	838860800.000000	55.7
256	256	419430400.000000	63.5
256	512	419430400.000000	63.5
256	768	419430400.000000	63.5
256	1024	419430400.000000	63.5
256	2048	419430400.000000	63.5
512	8	745654044.444444	23.5
512	16	958698057.142857	37.5
512	32	789516047.058823	47.6
512	64	583555339.130435	55.6
512	256	383479222.857143	63.5
512	512	383479222.857143	65.1
512	768	383479222.857143	65.1
512	1024	383479222.857143	65.1
512	2048	383479222.857143	65.1
768	8	794710231.578947	1.0
768	16	1161499569.230769	12.0
768	32	1161499569.230769	47.9
768	64	767770901.694915	55.9
768	256	383885450.847458	63.8
768	512	385519005.957447	64.8
768	768	385519005.957447	65.8
768	1024	387166523.076923	65.8
768	2048	387166523.076923	65.8
