128	8	inf	1.5
128	16	inf	2.8
128	32	inf	16.7
128	64	inf	35.7
128	256	inf	36.4
128	512	inf	36.4
128	768	inf	36.4
128	1024	inf	36.4
128	2048	inf	36.4
256	8	inf	1.1
256	16	inf	3.0
256	32	inf	28.9
256	64	inf	43.2
256	256	inf	46.1
256	512	inf	46.1
256	768	inf	46.1
256	1024	inf	46.1
256	2048	inf	46.1
512	8	4473924266.666667	3.3
512	16	8947848533.333334	5.6
512	32	8947848533.333334	38.3
512	64	13421772800.000000	45.8
512	256	6710886400.000000	48.2
512	512	6710886400.000000	49.0
512	768	6710886400.000000	49.0
512	1024	6710886400.000000	49.0
512	2048	6710886400.000000	49.0
768	8	4529848320.000000	3.1
768	16	6968997415.384615	4.5
768	32	9059696640.000000	29.7
768	64	8236087854.545455	44.8
768	256	6471211885.714285	48.2
768	512	5662310400.000000	48.8
768	768	5662310400.000000	49.4
768	1024	6039797760.000000	49.4
768	2048	5662310400.000000	49.4
1024	8	4294967296.000000	5.4
1024	16	7158278826.666667	5.5
1024	32	8589934592.000000	38.5
1024	64	6316128376.470588	46.2
1024	256	5965232355.555555	48.6
1024	512	5651272757.894737	49.4
1024	768	5651272757.894737	49.4
1024	1024	6135667565.714286	49.8
1024	2048	5965232355.555555	49.8
